ID,Name,Designator,Footprint,Quantity
1,.1uF,"C1, C3, C8, C9, C12, C18, C22, C30, C33, C42, C44, C51, C55, C57, C68, C72, C75, C77, C88, C92, C95, C97, C99, C100, C101, C102",C0805,26
2,.33uF,"C10, C31, C32, C34, C35, C59, C60, C79, C80",C0805,9
3,10uF,"C47, C48",CAP-D5.0XF2.0,2
4,10nF,"C5, C6, C17, C19, C50, C52, C71, C73, C91, C93",C0805,10
5,100pF,"C49, C54",C0805,2
6,1nF,"C21, C23, C24, C25, C26, C27, C29, C36, C37, C38, C39, C40, C41, C61, C62, C63, C64, C65, C66, C81, C82, C83, C84, C85, C86",C0805,25
7,1uF,"C2, C4, C7, C11, C13, C14, C15, C16, C20, C28, C43, C45, C46, C53, C56, C58, C67, C69, C70, C74, C76, C78, C87, C89, C90, C94, C96, C98",C0805,28
8,1N4148,"D1, D2, D11, D12, D13, D14, D33, D34, D35, D36, D37, D38",SOD-80_L3.5-W1.5-RD,12
9,1N5819,"D5, D8",DO-41,2
10,Ferrite,"F7, F8",7MM_RESISTOR,2
11,X4611WV-05I-C28D40,"H1, H2, H3, H4, H5",HDR-TH_5P-P2.00-V-M,5
12,X4611WV-04I-C28D40,H6,HDR-TH_4P-P2.00-V-M,1
13,HDR-IDC-2.54-2X3P,P1,IDC-TH_6P-P2.54_C11214,1
14,IDC Box 2.54mm 2X5P,P4,EURO_PWR_HEADER_LOCK,1
15,BC857,"Q2, Q3, Q5",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,3
16,BC847,Q4,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,1
17,10k,"R1, R2, R13, R75, R76, R89, R90, R103, R104",R0805,9
18,3M,R16,R0805,1
19,33k,"R17, R18, R19, R20, R21, R22, R24, R26, R29, R31, R66, R68, R69, R70, R71, R72, R73, R74, R80, R82, R83, R84, R85, R86, R87, R88, R94, R96, R97, R98, R99, R100, R101, R102",R0805,34
20,1M,"R3, R4, R5, R6, R28, R34",R0805,6
21,100k,"R11, R12, R23, R25, R27, R30, R32, R33, R35, R36, R37, R38, R63, R64, R65, R67, R77, R78, R79, R81, R91, R92, R93, R95",R0805,24
22,556,"U1, U3, U4, U6, U7, U9, U11, U12, U13, U15, U17, U18, U20",SO-14-WIDE,13
23,CD40106BM,"U2, U5, U8, U10, U14, U19",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,6
24,TL072IDT,U16,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1
25,TL074_SMD,"U23, U24",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2
26,CD4028BM96,U27,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1
