ID,Name,Designator,Footprint,Quantity,Source Link
1,1N4148,"D3, D4, D7, D9, D21, D22, D23, D24, D25, D26, D27, D28, D29, D30, D31, D32, D40, D41, D42, D43, D44, D45, D46, D47",SOD-80_L3.5-W1.5-FD,24,
2,THONKICONNNEW,"GATE-0, GATES, GATE-1, GATE-2, GATE-3, GATE-4, GATE-5, GATE-6, GATE-7",THONKICONN-TIGHT,9,
3,X4611WV-05I-C28D40,"H1, H2, H3, H4, H5",HDR-TH_5P-P2.00-V-M,5,https://www.taydaelectronics.com/connectors-sockets/pin-headers/5-pin-2-00-mm-single-row-female-pin-header.html
4,X4611WV-04I-C28D40,H6,HDR-TH_4P-P2.00-V-M,1,https://www.taydaelectronics.com/connectors-sockets/pin-headers/4-pin-2-00-mm-single-row-female-pin-header.html
5,BC847,"Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,8,
6,3.3k,"R3, R6, R51, R54, R55, R58, R59, R62",R0805,8,
7,1M,R14,R0805,1,
8,2M,R15,R0805,1,
9,56k,"R7, R8, R9, R10, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50",R0805,16,
10,6.8k,"R4, R5, R52, R53, R56, R57, R60, R61",R0805,8,
11,100K,"R105, R106, R107, R108, R109, R110, R111, R112",R0805,8,
12,DPDT-LED-PUSHBUTTON,"S1, S2, S3, S4, S5, S6, S7, S8",DPDT-LED-PUSHBUTTON,8,https://www.mouser.com/ProductDetail/Well-Buying/PS004-L22NPR1AXTURXX?qs=QTW8DiaQKovyZsGb58sYPQ%3D%3D
13,A500K,"VR1, VR2, VR3, VR4, VR5, VR6, VR7, VR8, VR9, VR10, VR11, VR12, VR13, VR14, VR15, VR16",9MM_SNAP-IN_POT T-18,16,
14,B1M,VR30,9MM_SNAP-IN_POT T-18,1,
15,knobs,,Slim T-18 Knob,17,https://www.thonk.co.uk/shop/tall-trimmer-toppers/
